PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S
"1,-0.7892723355548015,0.8273772438659699,""Braund, Mr. Owen Harris"",-0.661723684853333,1.3476052706640012,0.0,A/5 21171,-0.7975537389764756,True,False,True"
"2,1.266989801811655,-1.5661069258891576,""Cumings, Mrs. John Bradley (Florence Briggs Thayer)"",0.9729207184163104,1.3476052706640012,0.0,PC 17599,-0.2305564248178402,False,False,False"
"3,1.266989801811655,0.8273772438659699,""Heikkinen, Miss. Laina"",-0.2530625840359221,-0.5704718797539301,0.0,STON/O2. 3101282,-0.7444287303624617,False,False,True"
"4,1.266989801811655,-1.5661069258891576,""Futrelle, Mrs. Jacques Heath (Lily May Peel)"",0.6664248928032523,1.3476052706640012,0.0,113803,2.811011660953209,False,False,True"
"5,-0.7892723355548015,0.8273772438659699,""Allen, Mr. William Henry"",0.6664248928032523,-0.5704718797539301,0.0,373450,-0.7345907658043109,True,False,True"
"6,-0.7892723355548015,0.8273772438659699,""Moran, Mr. James"",-0.048732033627216675,-0.5704718797539301,0.0,330877,-0.7024560383715676,True,True,False"
"7,-0.7892723355548015,-1.5661069258891576,""McCarthy, Mr. Timothy J"",2.607565121685954,-0.5704718797539301,0.0,17463,2.713615811827517,True,False,True"
"8,-0.7892723355548015,0.8273772438659699,""Palsson, Master. Gosta Leonard"",-0.048732033627216675,-0.5704718797539301,0.0,349909,0.29052514115499417,True,False,True"
"9,1.266989801811655,0.8273772438659699,""Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"",-0.1508973088315694,-0.5704718797539301,0.0,347742,-0.49192359682714204,False,False,True"
"10,1.266989801811655,-0.3693648410115938,""Nasser, Mrs. Nicholas (Adele Achem)"",-1.4790458864881546,1.3476052706640012,0.0,237736,0.9985280337326922,False,False,False"
"11,1.266989801811655,0.8273772438659699,""Sandstrom, Miss. Marguerite Rut"",-2.5006986385316816,1.3476052706640012,0.0,PP 9549,-0.053803618380281124,False,False,True"
"12,1.266989801811655,-1.5661069258891576,""Bonnell, Miss. Elizabeth"",-0.048732033627216675,-0.5704718797539301,0.0,113783,0.7214279888019959,False,False,True"
"13,-0.7892723355548015,0.8273772438659699,""Saundercock, Mr. William Henry"",-0.8660542352620384,-0.5704718797539301,0.0,A/5. 2151,-0.7345907658043109,True,False,True"
"14,-0.7892723355548015,0.8273772438659699,""Andersson, Mr. Anders Johan"",1.0750859936206631,1.3476052706640012,0.0,347082,1.093303049100093,True,False,True"
"15,-0.7892723355548015,0.8273772438659699,""Vestrom, Miss. Hulda Amanda Adolfina"",-1.4790458864881546,-0.5704718797539301,0.0,350406,-0.7500009534881984,False,False,True"
"16,1.266989801811655,-0.3693648410115938,""Hewlett, Mrs. (Mary D Kingcome) "",-0.048732033627216675,-0.5704718797539301,0.0,248706,-0.10889621990592512,False,False,True"
"17,-0.7892723355548015,0.8273772438659699,""Rice, Master. Eugene"",-0.048732033627216675,-0.5704718797539301,0.0,382652,0.9240900586999007,True,True,False"
"18,1.266989801811655,-0.3693648410115938,""Williams, Mr. Charles Eugene"",-0.048732033627216675,-0.5704718797539301,0.0,244373,-0.34500736930154247,True,False,True"
"19,-0.7892723355548015,0.8273772438659699,""Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"",0.2577637919858415,1.3476052706640012,0.0,345763,0.04851121302448644,False,False,True"
"20,1.266989801811655,0.8273772438659699,""Masselmani, Mrs. Fatima"",-0.048732033627216675,-0.5704718797539301,0.0,2649,-0.7995213318881058,False,False,False"
"21,-0.7892723355548015,-0.3693648410115938,""Fynney, Mr. Joseph J"",0.6664248928032523,-0.5704718797539301,0.0,239865,0.6781409447461326,True,False,True"
"22,1.266989801811655,-0.3693648410115938,""Beesley, Mr. Lawrence"",0.5642596175988996,-0.5704718797539301,0.0,248698,-0.34500736930154247,True,False,True"
"23,1.266989801811655,0.8273772438659699,""McGowan, Miss. Anna """"Annie"""""",-1.376880611283802,-0.5704718797539301,0.0,330923,-0.7362278031067874,False,True,False"
"24,1.266989801811655,-1.5661069258891576,""Sloper, Mr. William Thompson"",-0.048732033627216675,-0.5704718797539301,0.0,113788,1.4258262511655875,True,False,True"
"25,-0.7892723355548015,0.8273772438659699,""Palsson, Miss. Torborg Danira"",-2.092037537714271,-0.5704718797539301,0.0,349909,0.29052514115499417,False,False,True"
"26,1.266989801811655,0.8273772438659699,""Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"",0.9729207184163104,1.3476052706640012,0.0,347077,1.1021572172024288,False,False,True"
"27,-0.7892723355548015,0.8273772438659699,""Emir, Mr. Farred Chehab"",-0.048732033627216675,-0.5704718797539301,0.0,2631,-0.7995213318881058,True,False,False"
"28,-0.7892723355548015,-1.5661069258891576,""Fortune, Mr. Charles Alexander"",-0.9682195104663911,-0.5704718797539301,0.0,19950,-0.2305564248178402,True,False,True"
"29,1.266989801811655,0.8273772438659699,""O'Dwyer, Miss. Ellen """"Nellie"""""",-0.048732033627216675,-0.5704718797539301,0.0,330959,-0.7480333605765681,False,True,False"
"30,-0.7892723355548015,0.8273772438659699,""Todoroff, Mr. Lalio"",-0.048732033627216675,-0.5704718797539301,0.0,349216,-0.7467268788832456,True,False,True"
"31,-0.7892723355548015,-1.5661069258891576,""Uruchurtu, Don. Manuel E"",1.1772512688250159,-0.5704718797539301,0.0,PC 17601,0.8135743000394587,True,False,False"
"32,1.266989801811655,-1.5661069258891576,""Spencer, Mrs. William Augustus (Marie Eugenie)"",-0.048732033627216675,1.3476052706640012,0.0,PC 17569,-0.2305564248178402,False,False,False"
"33,1.266989801811655,0.8273772438659699,""Glynn, Miss. Mary Agatha"",-0.048732033627216675,-0.5704718797539301,0.0,335677,-0.7582018807438727,False,True,False"
"34,-0.7892723355548015,-0.3693648410115938,""Wheadon, Mr. Edward H"",-0.048732033627216675,-0.5704718797539301,0.0,C.A. 24579,-0.5417666604645569,True,False,True"
"35,-0.7892723355548015,-1.5661069258891576,""Meyer, Mr. Edgar Joseph"",-0.048732033627216675,1.3476052706640012,0.0,PC 17604,-0.2305564248178402,True,False,False"
"36,-0.7892723355548015,-1.5661069258891576,""Holverson, Mr. Alexander Oskar"",1.3815818192337213,1.3476052706640012,0.0,113789,2.724437572841483,True,False,True"
"37,1.266989801811655,0.8273772438659699,""Mamee, Mr. Hanna"",-0.048732033627216675,-0.5704718797539301,0.0,2677,-0.7991907762789521,True,False,False"
"38,-0.7892723355548015,0.8273772438659699,""Cann, Mr. Ernest Charles"",-0.7638889600576857,-0.5704718797539301,0.0,A./5. 2152,-0.7345907658043109,True,False,True"
"39,-0.7892723355548015,0.8273772438659699,""Vander Planke, Miss. Augusta Maria"",-1.0703847856707438,3.2656824210819324,0.0,345764,0.04851121302448644,False,False,True"
"40,1.266989801811655,0.8273772438659699,""Nicola-Yarred, Miss. Jamila"",-1.4790458864881546,1.3476052706640012,0.0,2651,-0.4833921139623138,False,False,False"
"41,-0.7892723355548015,0.8273772438659699,""Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"",1.1772512688250159,1.3476052706640012,0.0,7546,-0.6224379698413929,False,False,True"
"42,-0.7892723355548015,-0.3693648410115938,""Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"",-0.1508973088315694,1.3476052706640012,0.0,11668,0.28462236242010375,False,False,True"
